Date,Close/Last,Volume,Open,High,Low
07/21/2021,$126.43,5117148,$124.74,$127.17,$123.28
07/20/2021,$126.35,11892920,$124.09,$127.57,$120.5101
07/19/2021,$118.43,9198363,$109.99,$118.67,$109.665
07/16/2021,$110.54,4593292,$111.67,$111.9503,$109.26
07/15/2021,$111.19,8178350,$111.98,$114.7099,$108.1
07/14/2021,$113.36,10359500,$116,$116.99,$113.3
07/13/2021,$119.85,4918723,$119.57,$121.61,$118.5001
07/12/2021,$120.31,7372031,$118.73,$121.18,$114.54
07/09/2021,$117.84,6943378,$123.8557,$123.9799,$117.71
07/08/2021,$124.06,5716179,$119.855,$124.9747,$118.61
07/07/2021,$123.51,6399526,$125.275,$129.7,$123.2
07/06/2021,$123.69,5878569,$121.47,$124.07,$119.73
07/02/2021,$121.6,3632537,$123.09,$124.98,$120.17
07/01/2021,$122.16,4687709,$125,$126.25,$121.31
06/30/2021,$124.02,4378522,$125.09,$125.66,$123.365
06/29/2021,$125.68,6133905,$125.36,$127.155,$122.22
06/28/2021,$126.92,11088550,$122.07,$127.98,$121.4
06/25/2021,$121.49,12475000,$121.951,$122.42,$118.83
06/24/2021,$121.85,12766990,$117.88,$124.23,$117
06/23/2021,$117.48,7885899,$116.82,$119.6099,$115.52
06/22/2021,$117.17,13099930,$107.45,$117.66,$107.45
06/21/2021,$108.11,7878160,$107.59,$108.6,$104.12
06/18/2021,$109.12,6363214,$107.592,$110.19,$107.24
06/17/2021,$108.81,6552521,$104.9,$109.8727,$104.61
06/16/2021,$105.07,8972502,$105.715,$106.58,$102.7
06/15/2021,$106.11,6075089,$111.99,$111.99,$105.63
06/14/2021,$112.09,6617640,$112.368,$114.75,$111.5478
06/11/2021,$113.12,9666724,$104.86,$113.23,$104.62
06/10/2021,$106.08,5921920,$106.105,$107.95,$104.49
06/09/2021,$106.97,5384557,$109.3,$110.445,$106.28
06/08/2021,$109.69,7105680,$110.31,$112.4613,$108.38
06/07/2021,$109.79,9138573,$105.2,$110.9699,$104.25
06/04/2021,$103.01,6619883,$103.68,$104.59,$101.52
06/03/2021,$103.1,8464885,$106.935,$107.648,$102.911
06/02/2021,$108.55,8316141,$109.23,$110.57,$105.95
06/01/2021,$108.89,7181209,$110.9,$112.99,$108.56
05/28/2021,$110.31,7663446,$112.479,$114,$110.12
05/27/2021,$112.6,13568260,$109.32,$112.899,$106.95
05/26/2021,$109.56,26620600,$99.96,$110.49,$99.96
05/25/2021,$99.44,9340217,$101.16,$102.72,$98.68
05/24/2021,$101.16,13135270,$101.72,$102.11,$98.12
05/21/2021,$100.9,10514370,$99.99,$102.25,$98.57
05/20/2021,$100.46,11665420,$98.198,$100.75,$97.8
05/19/2021,$96.55,14793330,$93.3542,$97.5699,$92.6301
05/18/2021,$95.19,17131300,$92.96,$97.85,$92.5501
05/17/2021,$92.29,17842820,$95.845,$96.9699,$89.43
05/14/2021,$96.58,18743760,$95.6421,$97.8,$92.9003
05/13/2021,$95.29,28794580,$90.69,$95.55,$90.5277
05/12/2021,$89.35,28848500,$88.5,$92.59,$86.51
05/11/2021,$91.01,25425910,$84.14,$91.38,$83.63
05/10/2021,$87.49,38641900,$82.59,$88.27,$81.06
05/07/2021,$83.81,62104990,$89.55,$92.02,$82.91
05/06/2021,$83.78,46079360,$80.504,$85.38,$80.48
05/05/2021,$82.62,84914530,$97.75,$98.8,$81.41
05/04/2021,$96.7,9224547,$95,$97.27,$92.72
05/03/2021,$95.84,7059042,$98.258,$99.8195,$95.31
04/30/2021,$98.35,8767193,$97.65,$101.4,$97.25
04/29/2021,$98.9,13344330,$103.2,$103.4368,$96.54
04/28/2021,$103.22,6288783,$101.71,$104.39,$100.27
04/27/2021,$102.34,5712583,$103.99,$104.39,$101.36
04/26/2021,$103.27,8022653,$102.66,$103.2739,$100.4106
04/23/2021,$101.07,10158160,$102.38,$103.59,$99.74
04/22/2021,$101.49,14597530,$101.1572,$105.08,$100.0343
04/21/2021,$99.93,16621100,$103.29,$104.25,$99.12
04/20/2021,$106.5,8472758,$108.11,$109.14,$103.92
04/19/2021,$107.75,22451330,$108.62,$112.91,$104.58
04/16/2021,$116.21,4759899,$119.35,$119.48,$115.76
04/15/2021,$119.9,4704666,$120,$121.795,$118.2
04/14/2021,$117.8,5802608,$122.664,$122.91,$117.39
04/13/2021,$122.36,6644727,$121.49,$124.8,$120.59
04/12/2021,$118.97,5596330,$118.06,$119.425,$115.2648
04/09/2021,$118.6,6751118,$122.492,$122.7,$118.41
04/08/2021,$123.62,14751520,$117.5,$124.5,$116.63
04/07/2021,$115.2,6066931,$114.3,$116.2,$111.62
04/06/2021,$115.38,7403248,$109.24,$117.4511,$108.28
04/05/2021,$109.09,6347953,$112.88,$112.98,$107.73
04/01/2021,$112.09,6986404,$114.99,$118.96,$111.67
03/31/2021,$112.44,6933723,$109,$114.5,$108.25
03/30/2021,$107.17,4201183,$103.81,$107.48,$101.8105
03/29/2021,$105.02,5163043,$106,$108.45,$103.9
03/26/2021,$106.42,6479661,$104.11,$106.56,$102.4
03/25/2021,$103.23,8356536,$99.67,$104.47,$98.73
03/24/2021,$101.79,10340030,$112.48,$112.8899,$101.12
03/23/2021,$113.35,9079464,$111,$116.29,$109.51
03/22/2021,$109.54,6913582,$108.97,$110.73,$106.65
03/19/2021,$108.31,11222230,$103.15,$108.93,$102.03
03/18/2021,$102.74,7912572,$105.005,$107.48,$101.6698
03/17/2021,$107.79,9712972,$105.525,$109.39,$102.26
03/16/2021,$107.96,5673564,$113.61,$113.98,$106.2
03/15/2021,$112.74,5338541,$111.67,$112.75,$107.35
03/12/2021,$111.55,8118595,$113.49,$115.2,$109.25
03/11/2021,$117.65,8180636,$115.4,$118.2,$114.01
03/10/2021,$111.32,8770592,$117.99,$119.12,$110.88
03/09/2021,$116.02,11068360,$108.18,$116.46,$106.29
03/08/2021,$101.35,13486340,$108.69,$115.39,$100.42
03/05/2021,$105.13,14661530,$105.15,$107.74,$94
03/04/2021,$104.75,13875400,$107.74,$110.97,$97.1937
03/03/2021,$108.08,10930860,$117.905,$118,$107.8
03/02/2021,$117.97,5277759,$125,$126.7399,$117.63
03/01/2021,$123.81,5943468,$122.478,$124.4,$118.77
02/26/2021,$120.47,8635538,$118.21,$121.78,$114.61
02/25/2021,$115.21,7624675,$121.14,$124.56,$113.84
02/24/2021,$122.72,7718771,$123,$127.1068,$118.85
02/23/2021,$126.89,11065990,$122.23,$126.95,$111.94
02/22/2021,$125.75,9730216,$137.32,$138.61,$125.08
02/19/2021,$139.71,4229633,$139.66,$141.67,$137.85
02/18/2021,$138.45,5947611,$136.13,$140.6611,$135.2
02/17/2021,$139.23,10626030,$145.17,$145.6,$135.03
02/16/2021,$145.88,6758500,$155.5,$155.52,$145.7185
02/12/2021,$154.67,7844161,$145.95,$154.83,$144.88
02/11/2021,$146.48,4286535,$146.66,$148.04,$144.03
02/10/2021,$145.04,5936921,$148.75,$150.5,$143.454
02/09/2021,$147.76,7611941,$147.01,$149.92,$145.1
02/08/2021,$144.99,11386220,$148.838,$149.46,$143.33
02/05/2021,$148.3,23157380,$149,$151.79,$142.7
02/04/2021,$157.53,11762600,$148.57,$157.83,$148.01
02/03/2021,$147.17,4095019,$149.51,$150.7753,$145.59
